After_taken_pixel,CPU,RAM,ROM,S5G,inner_href,name,phone_name,pic,price,resolution
未知后摄像素,暂无型号,其他,其他,不支持5G,https://item.jd.com/100019794059.html,AppleiPhone 13 Pro Max,,https://img14.360buyimg.com/n7/jfs/t1/119537/15/21912/33261/62281ddaE9d650a62/887d7e71ab9adf3f.jpg,9799.00,其他
未知后摄像素,暂无型号,未知运行内存,未知机身内存,不支持5G,https://item.jd.com/100030165224.html,未知商品名,,https://img14.360buyimg.com/n7/jfs/t1/89910/18/24559/74286/6229a0afE61affff8/bf3d34d1720a9725.jpg,7599.00,未知分辨率
4800万像素,其他,8GB,128GB,支持5G,https://item.jd.com/100017287026.html,vivoY52s,,https://img11.360buyimg.com/n7/jfs/t1/139669/9/17013/61194/5fcb5b69Ed934c95d/6cb6382de0ff62cd.jpg,1798.00,全高清FHD+
其他,其他,2GB以下,8GB以下,不支持5G,https://item.jd.com/100017927764.html,守护宝K289 健康码版,,https://img14.360buyimg.com/n7/jfs/t1/209682/13/17593/140810/620f6324E06f8d1a2/97383383328a50ab.jpg,349.00,其他
未知后摄像素,暂无型号,8GB,128GB,支持5G,https://item.jd.com/10041926617627.html,iQOOiQOO Neo5 SE,,https://img12.360buyimg.com/n7/jfs/t1/121467/13/25060/177569/62483e72Eba2d25ba/fa312aaf915e8faa.jpg,1899.00,其他
未知后摄像素,骁龙870,6GB,128GB,支持5G,https://item.jd.com/10030294090435.html,小米 Redmi 红米k40 【K40S店内可选】 5G手机 8G+128G 墨羽 官方标配,,https://img10.360buyimg.com/n7/jfs/t1/157199/37/26289/118001/617e564fE11afee50/8b54c45050110f33.jpg,1999.00,全高清FHD+
1600万像素,其他,其他,128GB,不支持5G,https://item.jd.com/100024150848.html,朵唯D30 Pro,,https://img13.360buyimg.com/n7/jfs/t1/64973/10/18375/158909/61f7b8b8E390201aa/d9d641baafda6506.jpg,699.00,高清HD+
5000万像素,暂无型号,8GB,128GB,不支持5G,https://item.jd.com/10037548275203.html,华为（HUAWEI）nova9,,https://img13.360buyimg.com/n7/jfs/t1/219846/1/9303/279072/61cc0898E320d18f6/89412964b80b41fd.jpg,2699.00,其他
未知后摄像素,暂无型号,8GB,128GB,不支持5G,https://item.jd.com/10036020553874.html,酷比（koobee）GT one,,https://img14.360buyimg.com/n7/jfs/t1/198461/12/4800/114874/6125cf47Efc79aa4e/17a20abed8843220.jpg,699.00,未知分辨率
其他,其他,2GB以下,其他,不支持5G,https://item.jd.com/8717362.html,飞利浦E258S,,https://img12.360buyimg.com/n7/jfs/t1/176700/25/28740/184895/6246d156E404a8f9c/5bcfb0633fd999d7.jpg,169.00,其他
